id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
243,2012,Pune,2012-04-14,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,wickets,0,Kings XI Punjab,0,8,YS Chahal,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
244,2012,Pune,2012-04-16,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,wickets,0,Rajasthan Royals,0,1,AT Rayudu,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
245,2012,Bangalore,2012-05-21,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,bat,wickets,0,Royal Challengers Bangalore,0,2,DL Chahar,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
246,2012,Hyderabad,2012-04-17,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,runs,0,Deccan Chargers,73,0,DJ Bravo,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
247,2012,Bangalore,2012-04-14,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,wickets,0,Rajasthan Royals,0,4,S Dhawan,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
248,2012,Delhi,2012-05-13,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,0,Delhi Daredevils,0,4,A Kumble,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
249,2012,Hyderabad,2012-04-19,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,runs,0,Rajasthan Royals,32,0,R Ashwin,"Punjab Cricket Association Stadium, Mohali",Umpire A,Umpire B
250,2012,Chennai,2012-04-17,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,runs,0,Kolkata Knight Riders,14,0,V Kohli,"Eden Gardens, Kolkata",Umpire A,Umpire B
251,2012,Indore,2012-04-12,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,runs,0,Rajasthan Royals,9,0,DW Steyn,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
252,2012,Pune,2012-05-10,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,field,runs,0,Kings XI Punjab,74,0,RV Uthappa,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
253,2012,Mumbai,2012-04-30,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,runs,0,Rajasthan Royals,58,0,MJ McClenaghan,"Eden Gardens, Kolkata",Umpire A,Umpire B
254,2012,Bangalore,2012-04-30,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,runs,1,Rajasthan Royals,18,0,SP Narine,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
255,2012,Mohali,2012-05-15,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,0,Royal Challengers Bangalore,73,0,M Vijay,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
256,2012,Chennai,2012-04-18,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,wickets,0,Mumbai Indians,0,4,SV Samson,"Eden Gardens, Kolkata",Umpire A,Umpire B
257,2012,Bangalore,2012-05-21,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,wickets,0,Rajasthan Royals,0,3,MM Sharma,"Eden Gardens, Kolkata",Umpire A,Umpire B
258,2012,Delhi,2012-05-11,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,bat,wickets,0,Mumbai Indians,0,8,G Gambhir,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
259,2012,Kolkata,2012-04-20,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,runs,0,Deccan Chargers,79,0,Q de Kock,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
260,2012,Ahmedabad,2012-05-19,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,wickets,0,Deccan Chargers,0,6,AB de Villiers,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
261,2012,Mohali,2012-04-22,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,runs,0,Kings XI Punjab,72,0,JP Duminy,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
262,2012,Ahmedabad,2012-04-30,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,wickets,0,Chennai Super Kings,0,1,PA Patel,"Eden Gardens, Kolkata",Umpire A,Umpire B
263,2012,Indore,2012-05-24,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,bat,runs,0,Delhi Daredevils,41,0,MS Dhoni,"Eden Gardens, Kolkata",Umpire A,Umpire B
264,2012,Hyderabad,2012-05-15,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,wickets,0,Chennai Super Kings,0,1,DW Steyn,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
265,2012,Jaipur,2012-04-19,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,0,Delhi Daredevils,0,4,SK Raina,"Eden Gardens, Kolkata",Umpire A,Umpire B
266,2012,Visakhapatnam,2012-05-29,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,wickets,1,Deccan Chargers,0,3,MS Dhoni,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
267,2012,Mumbai,2012-05-16,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,wickets,1,Delhi Daredevils,0,7,AB de Villiers,"Eden Gardens, Kolkata",Umpire A,Umpire B
268,2012,Ahmedabad,2012-05-14,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,runs,0,Kings XI Punjab,7,0,Rashid Khan,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
269,2012,Kolkata,2012-05-12,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,runs,0,Royal Challengers Bangalore,4,0,LH Ferguson,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
270,2012,Indore,2012-05-15,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,0,5,YS Chahal,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
271,2012,Bangalore,2012-04-14,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,runs,0,Rajasthan Royals,60,0,SS Iyer,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
272,2012,Hyderabad,2012-05-28,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,wickets,0,Chennai Super Kings,0,7,YS Chahal,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
273,2012,Indore,2012-04-13,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,field,wickets,0,Delhi Daredevils,0,9,MJ McClenaghan,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
274,2012,Indore,2012-04-30,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,runs,0,Delhi Daredevils,55,0,JJ Bumrah,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
275,2012,Delhi,2012-05-10,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,wickets,0,Kolkata Knight Riders,0,9,DL Chahar,"Punjab Cricket Association Stadium, Mohali",Umpire A,Umpire B
276,2012,Ahmedabad,2012-05-27,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,wickets,0,Rajasthan Royals,0,2,AB de Villiers,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
277,2012,Kolkata,2012-05-11,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,runs,0,Kolkata Knight Riders,36,0,MJ McClenaghan,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
278,2012,Mohali,2012-05-18,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,wickets,0,Delhi Daredevils,0,6,AT Rayudu,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
279,2012,Delhi,2012-04-16,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,wickets,0,Rajasthan Royals,0,8,SL Malinga,"Punjab Cricket Association Stadium, Mohali",Umpire A,Umpire B
280,2012,Delhi,2012-05-14,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,wickets,0,Rajasthan Royals,0,3,RP Singh,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
281,2013,Jaipur,2013-05-16,Pune Warriors India,Mumbai Indians,Pune Warriors India,bat,wickets,0,Pune Warriors India,0,4,CH Gayle,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
282,2013,Kolkata,2013-05-21,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,runs,0,Delhi Daredevils,77,0,PP Chawla,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
283,2013,Bangalore,2013-04-16,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,runs,0,Chennai Super Kings,74,0,SP Narine,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
284,2013,Delhi,2013-05-30,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,wickets,0,Rajasthan Royals,0,1,I Sharma,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
285,2013,Hyderabad,2013-04-10,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,wickets,0,Rajasthan Royals,0,9,MM Sharma,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
286,2013,Delhi,2013-05-16,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,runs,0,Sunrisers Hyderabad,36,0,RA Tripathi,"Punjab Cricket Association Stadium, Mohali",Umpire A,Umpire B
287,2013,Delhi,2013-05-22,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,wickets,0,Royal Challengers Bangalore,0,8,SL Malinga,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
288,2013,Kolkata,2013-04-25,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,wickets,0,Kings XI Punjab,0,3,HH Pandya,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
289,2013,Mohali,2013-05-28,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,0,Sunrisers Hyderabad,40,0,DR Smith,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
290,2013,Indore,2013-05-23,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,wickets,0,Delhi Daredevils,0,9,M Vijay,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
291,2013,Mohali,2013-04-12,Kolkata Knight Riders,Pune Warriors India,Kolkata Knight Riders,field,wickets,0,Pune Warriors India,0,8,RP Singh,"Eden Gardens, Kolkata",Umpire A,Umpire B
292,2013,Kolkata,2013-04-14,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,runs,0,Kings XI Punjab,22,0,Harbhajan Singh,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
293,2013,Pune,2013-04-20,Rajasthan Royals,Pune Warriors India,Pune Warriors India,field,runs,0,Pune Warriors India,69,0,DR Smith,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
294,2013,Kolkata,2013-05-26,Pune Warriors India,Royal Challengers Bangalore,Pune Warriors India,bat,runs,0,Pune Warriors India,45,0,AB de Villiers,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
295,2013,Visakhapatnam,2013-05-14,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,wickets,0,Chennai Super Kings,0,9,Q de Kock,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
296,2013,Bangalore,2013-04-13,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,runs,0,Kings XI Punjab,29,0,RG Sharma,"Eden Gardens, Kolkata",Umpire A,Umpire B
297,2013,Pune,2013-05-24,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,wickets,0,Mumbai Indians,0,1,KL Rahul,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
298,2013,Hyderabad,2013-04-26,Pune Warriors India,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,wickets,0,Pune Warriors India,0,1,DJ Bravo,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
299,2013,Bangalore,2013-04-18,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,runs,0,Rajasthan Royals,14,0,I Sharma,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
300,2013,Pune,2013-05-17,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,runs,0,Royal Challengers Bangalore,64,0,PP Chawla,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
301,2013,Delhi,2013-04-24,Chennai Super Kings,Pune Warriors India,Pune Warriors India,bat,wickets,1,Chennai Super Kings,0,2,SP Narine,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
302,2013,Mohali,2013-05-23,Sunrisers Hyderabad,Pune Warriors India,Pune Warriors India,bat,wickets,0,Sunrisers Hyderabad,0,1,A Mishra,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
303,2013,Delhi,2013-05-20,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,runs,0,Chennai Super Kings,57,0,MS Dhoni,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
304,2013,Indore,2013-04-14,Rajasthan Royals,Pune Warriors India,Pune Warriors India,field,wickets,0,Pune Warriors India,0,8,SR Watson,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
305,2013,Ahmedabad,2013-05-29,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,wickets,0,Kolkata Knight Riders,0,8,M Vijay,"Eden Gardens, Kolkata",Umpire A,Umpire B
306,2013,Indore,2013-04-26,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,bat,runs,0,Delhi Daredevils,9,0,PA Patel,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
307,2013,Visakhapatnam,2013-04-10,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,0,7,MJ McClenaghan,"Eden Gardens, Kolkata",Umpire A,Umpire B
308,2013,Mohali,2013-04-26,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,bat,wickets,0,Kolkata Knight Riders,0,6,SS Iyer,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
309,2013,Chennai,2013-05-20,Rajasthan Royals,Pune Warriors India,Rajasthan Royals,bat,runs,0,Pune Warriors India,74,0,Harbhajan Singh,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
310,2013,Chennai,2013-05-26,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,runs,0,Mumbai Indians,71,0,I Sharma,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
311,2013,Ahmedabad,2013-05-21,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,bat,wickets,0,Delhi Daredevils,0,6,I Sharma,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
312,2013,Visakhapatnam,2013-04-11,Chennai Super Kings,Pune Warriors India,Chennai Super Kings,bat,runs,0,Pune Warriors India,38,0,DR Smith,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
313,2013,Hyderabad,2013-05-16,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,bat,wickets,0,Kolkata Knight Riders,0,4,F du Plessis,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
314,2013,Jaipur,2013-04-27,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,wickets,0,Rajasthan Royals,0,9,V Kohli,"Eden Gardens, Kolkata",Umpire A,Umpire B
315,2013,Mohali,2013-05-23,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,runs,1,Delhi Daredevils,77,0,R Ashwin,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
316,2013,Hyderabad,2013-05-27,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,0,3,I Sharma,"Eden Gardens, Kolkata",Umpire A,Umpire B
317,2013,Visakhapatnam,2013-05-13,Pune Warriors India,Royal Challengers Bangalore,Pune Warriors India,bat,wickets,0,Royal Challengers Bangalore,0,3,YS Chahal,"Eden Gardens, Kolkata",Umpire A,Umpire B
318,2013,Mumbai,2013-04-11,Pune Warriors India,Delhi Daredevils,Delhi Daredevils,field,wickets,0,Delhi Daredevils,0,9,M Vijay,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
319,2013,Bangalore,2013-04-21,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,runs,0,Sunrisers Hyderabad,8,0,YS Chahal,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
320,2013,Hyderabad,2013-05-27,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,wickets,0,Royal Challengers Bangalore,0,1,SL Malinga,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
321,2013,Bangalore,2013-05-24,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,wickets,0,Royal Challengers Bangalore,0,9,BB McCullum,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
322,2013,Delhi,2013-04-28,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,runs,0,Kolkata Knight Riders,36,0,S Dhawan,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
323,2013,Mumbai,2013-05-25,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,bat,runs,0,Mumbai Indians,42,0,LH Ferguson,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
324,2013,Visakhapatnam,2013-05-27,Pune Warriors India,Kings XI Punjab,Pune Warriors India,field,wickets,0,Pune Warriors India,0,9,SR Watson,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
325,2013,Ahmedabad,2013-05-27,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,runs,0,Kings XI Punjab,38,0,DL Chahar,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
326,2013,Indore,2013-05-13,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,wickets,0,Mumbai Indians,0,4,PA Patel,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
327,2013,Mohali,2013-04-13,Pune Warriors India,Sunrisers Hyderabad,Pune Warriors India,field,wickets,0,Sunrisers Hyderabad,0,5,R Ashwin,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
328,2013,Bangalore,2013-05-30,Pune Warriors India,Mumbai Indians,Pune Warriors India,bat,wickets,0,Pune Warriors India,0,7,YS Chahal,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
329,2013,Kolkata,2013-04-28,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,runs,0,Kolkata Knight Riders,10,0,RA Tripathi,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
330,2013,Indore,2013-04-30,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,runs,0,Rajasthan Royals,3,0,KL Rahul,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
331,2013,Chennai,2013-05-22,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,runs,0,Chennai Super Kings,39,0,HH Pandya,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
332,2013,Indore,2013-05-30,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,wickets,0,Mumbai Indians,0,9,AM Rahane,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
333,2013,Visakhapatnam,2013-05-16,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,wickets,0,Mumbai Indians,0,7,MS Dhoni,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
334,2013,Bangalore,2013-04-28,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,runs,0,Kings XI Punjab,79,0,KL Rahul,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
335,2013,Jaipur,2013-05-14,Pune Warriors India,Delhi Daredevils,Pune Warriors India,field,runs,0,Pune Warriors India,26,0,Q de Kock,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
336,2013,Ahmedabad,2013-05-28,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,runs,0,Royal Challengers Bangalore,58,0,DJ Bravo,"Punjab Cricket Association Stadium, Mohali",Umpire A,Umpire B
337,2014,Delhi,2014-04-20,Kings XI Punjab,Pune Warriors India,Pune Warriors India,bat,runs,0,Kings XI Punjab,29,0,DR Smith,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
338,2014,Chennai,2014-04-27,Delhi Daredevils,Pune Warriors India,Pune Warriors India,field,wickets,0,Pune Warriors India,0,3,SS Iyer,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
339,2014,Visakhapatnam,2014-05-30,Chennai Super Kings,Pune Warriors India,Chennai Super Kings,bat,wickets,0,Pune Warriors India,0,4,RA Tripathi,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
340,2014,Hyderabad,2014-04-17,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,wickets,0,Kings XI Punjab,0,9,DR Smith,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
341,2014,Mohali,2014-04-25,Kolkata Knight Riders,Pune Warriors India,Pune Warriors India,bat,wickets,0,Kolkata Knight Riders,0,3,DA Warner,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
342,2014,Jaipur,2014-04-11,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,wickets,1,Sunrisers Hyderabad,0,6,A Kumble,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
343,2014,Ahmedabad,2014-04-26,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,runs,0,Kings XI Punjab,49,0,SP Narine,"Punjab Cricket Association Stadium, Mohali",Umpire A,Umpire B
344,2014,Kolkata,2014-04-17,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,wickets,0,Rajasthan Royals,0,1,DW Steyn,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
345,2014,Hyderabad,2014-04-25,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,runs,0,Sunrisers Hyderabad,16,0,Q de Kock,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
346,2014,Ahmedabad,2014-04-30,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,field,runs,0,Delhi Daredevils,17,0,SR Watson,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
347,2014,Ahmedabad,2014-04-19,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,0,7,LH Ferguson,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
348,2014,Kolkata,2014-04-29,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,runs,0,Royal Challengers Bangalore,53,0,MM Sharma,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
349,2014,Chennai,2014-04-26,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,runs,0,Sunrisers Hyderabad,50,0,RG Sharma,"Eden Gardens, Kolkata",Umpire A,Umpire B
350,2014,Visakhapatnam,2014-04-25,Pune Warriors India,Rajasthan Royals,Pune Warriors India,bat,wickets,0,Pune Warriors India,0,1,KL Rahul,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
351,2014,Bangalore,2014-05-21,Pune Warriors India,Mumbai Indians,Mumbai Indians,field,wickets,0,Mumbai Indians,0,9,PP Chawla,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
352,2014,Ahmedabad,2014-05-18,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,wickets,0,Rajasthan Royals,0,2,YS Chahal,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
353,2014,Mohali,2014-04-23,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,wickets,0,Mumbai Indians,0,6,AB de Villiers,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
354,2014,Hyderabad,2014-05-15,Sunrisers Hyderabad,Pune Warriors India,Pune Warriors India,field,wickets,0,Pune Warriors India,0,7,Rashid Khan,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
355,2014,Indore,2014-04-24,Pune Warriors India,Delhi Daredevils,Delhi Daredevils,field,wickets,0,Delhi Daredevils,0,7,KL Rahul,"Eden Gardens, Kolkata",Umpire A,Umpire B
356,2014,Hyderabad,2014-04-12,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,wickets,0,Chennai Super Kings,0,1,LH Ferguson,"Eden Gardens, Kolkata",Umpire A,Umpire B
357,2014,Mumbai,2014-05-29,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,runs,0,Rajasthan Royals,11,0,M Vijay,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
358,2014,Bangalore,2014-04-29,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,runs,0,Mumbai Indians,67,0,DA Warner,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
359,2014,Mohali,2014-05-22,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,runs,0,Mumbai Indians,36,0,DJ Bravo,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
360,2014,Mohali,2014-05-17,Pune Warriors India,Mumbai Indians,Pune Warriors India,bat,wickets,0,Mumbai Indians,0,9,KS Williamson,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
361,2014,Visakhapatnam,2014-05-20,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,bat,runs,0,Delhi Daredevils,65,0,SK Raina,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
362,2014,Jaipur,2014-05-28,Pune Warriors India,Sunrisers Hyderabad,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,0,4,A Mishra,"Punjab Cricket Association Stadium, Mohali",Umpire A,Umpire B
363,2014,Mohali,2014-05-26,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,bat,wickets,0,Chennai Super Kings,0,4,SL Malinga,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
364,2014,Visakhapatnam,2014-05-20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,wickets,0,Royal Challengers Bangalore,0,6,G Gambhir,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
365,2014,Bangalore,2014-04-17,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,runs,0,Sunrisers Hyderabad,31,0,JP Duminy,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
